code,name,llm_score,llm_explanation
159502,标普生物科技ETF,0.036764,基于模型预测的5日收益率最高，动量因子（momentum_20_cs_z）显示近期价格下跌压力较大，但换手率（turnover_mean_20_cs_z）相对较高，表明市场关注度尚可，短期可能存在技术性反弹机会。
159518,标普油气ETF,0.033482,"预测收益率排名第二，成交量与换手率均处于高位（volume_mean_20_cs_z: -0.13, turnover_mean_20_cs_z: 1.62），显示活跃交易，但近期价格下跌明显（涨跌幅-4.76%），波动率较高（volatility_20_cs_z: 2.54），需注意短期波动风险。"
513290,纳指生物科技ETF,0.031536,"预测收益率居中，动量与波动率因子表现一般（momentum_20_cs_z: -1.36, volatility_20_cs_z: 0.85），成交量相对较低（volume_mean_20_cs_z: -0.41），整体表现平稳但缺乏突出驱动因素。"
513330,恒生互联网ETF,0.028953,成交量异常突出（volume_mean_20_cs_z: 5.10），市场关注度高，振幅较大（3.98%），但预测收益率相对较低，近期价格小幅上涨（涨跌幅0.88%），需关注流动性溢价与波动平衡。
159572,创业板200ETF易方达,0.025986,当日涨幅较高（1.57%），振幅达4.06%，波动率因子显著（volatility_20_cs_z: 2.10），但成交量偏低（volume_mean_20_cs_z: -0.47），可能受限于流动性，短期波动机会与风险并存。
159995,芯片ETF,0.024302,当日表现强势（涨跌幅4.25%，振幅6.51%），动量因子转正（momentum_20_cs_z: 0.37），但预测收益率排名靠后，显示短期涨幅可能已部分透支预期，需警惕回调压力。
513730,东南亚科技ETF,0.021819,换手率较高（31.92%），波动率因子突出（volatility_20_cs_z: 1.68），但当日价格下跌（-1.48%），动量因子接近中性（momentum_20_cs_z: 0.01），市场分歧较大，短期方向不明朗。
515050,5G通信ETF,0.021487,当日上涨2.2%，但动量因子显著偏弱（momentum_20_cs_z: -1.83），显示中期趋势仍承压，换手率较低（4.84%），市场参与度有限，反弹持续性有待观察。
515400,大数据ETF,0.019236,价格小幅上涨（1.42%），振幅适中（3.56%），但动量因子偏弱（momentum_20_cs_z: -1.61），成交量与换手率均处于中低水平，整体表现平淡，缺乏明显催化剂。
512480,半导体ETF,0.018415,当日涨幅最高（4.98%），振幅达7.76%，动量因子转正（momentum_20_cs_z: 0.43），但预测收益率排名末位，反映短期大涨后模型对后续收益预期趋于谨慎，可能存在获利了结压力。
